                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.62676,                0.94548,                 1.2442,                0.28755,                0.12042,                0.09283,                0.06819,                 2.5712,                 5.8696,                 3.5424,             0.00067466,             0.00067466,             0.00067466
                     98,                 0.6432,                0.98938,                 1.2358,                0.12887,                0.16007,                0.07549,                0.05767,                 2.5139,                 6.0473,                  3.581,             0.00067301,             0.00067301,             0.00067301
                     99,                0.67128,                 1.0078,                 1.2602,                0.15218,                0.12757,                0.07832,                0.06037,                  2.525,                 5.9764,                 3.5663,             0.00067136,             0.00067136,             0.00067136
                    100,                0.60337,                 0.9817,                 1.2223,                0.05266,                0.20735,                0.06902,                0.04541,                 2.5728,                 6.0211,                 3.5949,             0.00066972,             0.00066972,             0.00066972
                    101,                0.62155,                0.94339,                 1.2276,                0.26288,                0.11598,                0.09534,                0.07093,                 2.5234,                 5.7418,                 3.4598,             0.00066807,             0.00066807,             0.00066807
                    102,                0.62932,                 0.9133,                 1.2302,                0.15515,                0.11741,                0.08681,                 0.0595,                 2.6327,                 5.9272,                 3.5998,             0.00066642,             0.00066642,             0.00066642
                    103,                0.63419,                0.96489,                 1.2248,                0.26138,                0.12919,                0.08958,                0.06405,                 2.6194,                 5.8841,                 3.5543,             0.00066477,             0.00066477,             0.00066477
                    104,                0.62976,                  0.924,                  1.225,                0.05588,                0.21254,                0.07481,                0.05624,                  2.509,                 5.9634,                 3.5151,             0.00066312,             0.00066312,             0.00066312
                    105,                0.66437,                0.95101,                 1.2584,                0.32268,                0.14001,                0.11236,                0.07433,                 2.5886,                 5.8898,                  3.546,             0.00066147,             0.00066147,             0.00066147
                    106,                0.64608,                 0.9592,                 1.2536,                0.21755,                0.16552,                 0.1014,                0.07475,                 2.4922,                 5.8095,                 3.4446,             0.00065982,             0.00065982,             0.00065982
                    107,                0.65102,                 1.0142,                 1.2571,                0.22471,                0.16016,                0.11195,                0.08235,                 2.5315,                   5.79,                  3.456,             0.00065817,             0.00065817,             0.00065817
                    108,                 0.5979,                0.88938,                 1.2167,                0.23334,                0.08965,                0.08758,                0.06447,                 2.5205,                 5.9811,                 3.5059,             0.00065652,             0.00065652,             0.00065652
                    109,                 0.6284,                0.91793,                 1.2307,                0.24956,                0.13662,                0.10139,                0.08072,                 2.4522,                 5.6809,                 3.3752,             0.00065487,             0.00065487,             0.00065487
                    110,                0.58553,                0.91096,                 1.2109,                 0.2102,                0.15961,                0.10114,                0.08152,                 2.4559,                  5.655,                 3.3768,             0.00065322,             0.00065322,             0.00065322
                    111,                0.63782,                0.92487,                  1.234,                0.24643,                0.11779,                0.08559,                0.06131,                 2.5904,                 5.9096,                 3.5306,             0.00065157,             0.00065157,             0.00065157
                    112,                0.59061,                0.88405,                 1.2019,                0.15253,                0.12896,                0.08594,                0.05829,                  2.663,                 5.8407,                 3.5751,             0.00064992,             0.00064992,             0.00064992
                    113,                0.63541,                0.91247,                 1.2275,                0.07609,                0.20523,                0.08557,                0.06719,                 2.5819,                 5.9817,                 3.5648,             0.00064827,             0.00064827,             0.00064827
                    114,                0.63235,                0.90796,                 1.2387,                0.07898,                0.21162,                0.09235,                0.06787,                 2.5287,                 6.0242,                 3.5446,             0.00064662,             0.00064662,             0.00064662
                    115,                0.61039,                0.86595,                 1.2273,                0.15381,                0.13462,                 0.0965,                0.06705,                 2.5393,                 6.0108,                 3.5075,             0.00064498,             0.00064498,             0.00064498
                    116,                0.62807,                0.88188,                 1.2171,                0.06695,                0.20008,                0.07903,                0.06236,                 2.5578,                 6.0976,                 3.5354,             0.00064333,             0.00064333,             0.00064333
                    117,                0.66053,                0.88373,                 1.2454,                0.17521,                0.14173,                 0.0879,                0.06095,                 2.6474,                 5.9057,                 3.5767,             0.00064168,             0.00064168,             0.00064168
                    118,                0.61912,                0.87806,                 1.2143,                 0.2514,                  0.128,                0.10063,                0.07501,                 2.5055,                 5.8172,                 3.3998,             0.00064003,             0.00064003,             0.00064003
                    119,                0.61586,                0.87854,                 1.2071,                0.21953,                0.16111,                0.10744,                0.07716,                 2.4384,                 5.6194,                 3.2913,             0.00063838,             0.00063838,             0.00063838
                    120,                0.61597,                0.88917,                 1.2295,                 0.2193,                0.11373,                0.09204,                0.06686,                 2.5149,                 5.8168,                 3.4659,             0.00063673,             0.00063673,             0.00063673
                    121,                0.63837,                0.89309,                 1.2393,                0.04844,                0.15739,                0.06086,                0.04368,                 2.5648,                  6.246,                 3.6456,             0.00063508,             0.00063508,             0.00063508
                    122,                0.58659,                0.81128,                 1.2051,                0.26194,                0.12636,                0.09909,                0.07094,                 2.5002,                 5.8621,                 3.4844,             0.00063343,             0.00063343,             0.00063343
                    123,                0.64616,                0.84679,                 1.2539,                0.21571,                0.17053,                0.10825,                0.07878,                 2.4312,                 5.7127,                  3.458,             0.00063178,             0.00063178,             0.00063178
                    124,                0.63182,                0.91037,                 1.2348,                0.21004,                0.14944,                0.12168,                0.08525,                 2.4704,                 5.7553,                 3.4259,             0.00063013,             0.00063013,             0.00063013
                    125,                0.62617,                0.84337,                 1.2443,                0.06138,                0.19816,                0.07465,                0.04441,                 2.5999,                 6.0484,                 3.5623,             0.00062848,             0.00062848,             0.00062848
                    126,                0.59462,                0.81241,                 1.2022,                0.11374,                0.12292,                0.08584,                0.06246,                 2.5284,                 5.9027,                 3.4572,             0.00062683,             0.00062683,             0.00062683
                    127,                0.59715,                0.77894,                 1.2069,                0.06336,                0.19139,                0.08555,                0.06026,                 2.4626,                 5.9949,                 3.4369,             0.00062518,             0.00062518,             0.00062518
                    128,                0.58658,                  0.825,                 1.1912,                0.07666,                0.21777,                0.09745,                0.07062,                 2.4433,                  5.945,                 3.4211,             0.00062353,             0.00062353,             0.00062353
                    129,                 0.5959,                0.79351,                 1.2098,                0.07364,                0.21908,                0.08689,                 0.0643,                 2.4603,                 5.9365,                 3.4608,             0.00062188,             0.00062188,             0.00062188
                    130,                0.59066,                0.88001,                 1.1986,                0.04572,                0.15932,                0.04808,                0.03362,                 2.4815,                 6.2321,                 3.4928,             0.00062024,             0.00062024,             0.00062024
                    131,                0.59908,                0.80219,                  1.218,                0.08627,                0.21467,                0.08672,                0.06436,                 2.4936,                 6.1479,                 3.4725,             0.00061859,             0.00061859,             0.00061859
                    132,                0.61432,                0.77031,                 1.2223,                0.08969,                0.21509,                0.09232,                0.07166,                 2.5113,                 6.0159,                 3.4168,             0.00061694,             0.00061694,             0.00061694
                    133,                0.64349,                0.85647,                 1.2445,                0.07465,                0.18889,                 0.0744,                0.05283,                 2.5241,                 6.0366,                 3.4479,             0.00061529,             0.00061529,             0.00061529
                    134,                0.59707,                0.77148,                 1.1965,                0.06752,                0.22962,                0.08517,                   0.06,                 2.4752,                 6.0329,                 3.4401,             0.00061364,             0.00061364,             0.00061364
                    135,                0.57432,                0.81359,                  1.188,                0.07207,                0.20878,                0.09147,                0.06401,                  2.507,                 6.1577,                 3.4849,             0.00061199,             0.00061199,             0.00061199
                    136,                0.56688,                0.80586,                 1.1841,                0.07556,                0.20343,                0.08382,                 0.0636,                 2.5678,                 6.2926,                 3.5716,             0.00061034,             0.00061034,             0.00061034
                    137,                0.58516,                0.80233,                 1.1919,                0.08813,                0.20628,                0.10305,                0.08332,                 2.4859,                 6.1701,                  3.548,             0.00060869,             0.00060869,             0.00060869
                    138,                0.58984,                0.80094,                 1.2045,                0.06481,                0.20487,                0.07171,                0.05677,                 2.4745,                 6.1818,                 3.5635,             0.00060704,             0.00060704,             0.00060704
                    139,                0.58772,                0.80652,                 1.1954,                 0.0686,                 0.2163,                0.07736,                0.05633,                 2.5286,                 6.0696,                 3.5271,             0.00060539,             0.00060539,             0.00060539
                    140,                0.57549,                 0.7605,                 1.1942,                0.06527,                0.23046,                0.08553,                0.06703,                 2.4332,                 6.2201,                 3.5337,             0.00060374,             0.00060374,             0.00060374
                    141,                0.57708,                 0.7863,                 1.1923,                 0.0694,                0.20076,                   0.07,                0.05246,                 2.4702,                  6.295,                 3.5219,             0.00060209,             0.00060209,             0.00060209
                    142,                0.58149,                0.79477,                  1.182,                0.05962,                0.21498,                0.06512,                0.04703,                 2.4882,                 6.2388,                 3.4752,             0.00060044,             0.00060044,             0.00060044
                    143,                0.60582,                0.76738,                 1.2067,                0.06017,                0.11518,                0.04539,                0.02901,                 2.6206,                 6.4868,                 3.6795,             0.00059879,             0.00059879,             0.00059879
                    144,                0.57934,                0.77302,                 1.1837,                  0.215,                0.15024,                0.10159,                0.07699,                 2.4893,                 6.0256,                 3.4081,             0.00059714,             0.00059714,             0.00059714
                    145,                0.56399,                0.79233,                 1.1629,                0.28736,                0.14202,                 0.1155,                0.09168,                 2.4633,                 6.1592,                 3.4415,              0.0005955,              0.0005955,              0.0005955
                    146,                0.57513,                0.77195,                 1.1855,                0.05629,                0.21129,                0.08365,                0.05897,                  2.537,                 6.2439,                 3.5202,             0.00059385,             0.00059385,             0.00059385
                    147,                0.55031,                0.80865,                 1.1679,                0.24482,                0.10908,                0.07518,                0.05317,                 2.5139,                 6.0844,                 3.4169,              0.0005922,              0.0005922,              0.0005922
